"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","GeneName","AlsoPresentInClusters","CellTypeFlag","Summary","Reactom","GeneFamily"
"11",0,0.968722364966093,0.985,0.687,0,"0","CD14","CD14 molecule","0, 1, 7","macrophage, monocyte, neutrophil granulocyte","The protein encoded by this gene is a surface antigen that is preferentially expressed on monocytes/macrophages. It cooperates with other proteins to mediate the innate immune response to bacterial lipopolysaccharide. Alternative splicing results in multiple transcript variants encoding the same protein. [provided by RefSeq, Mar 2010]","ER-Phagosome pathway; via Death Receptors in the presence of ligand; Toll Like Receptor 4 (TLR4) Cascade; Transfer of LPS from LBP carrier to CD14; MyD88:Mal cascade initiated on plasma membrane; MyD88-independent TLR4 cascade ; Toll Like Receptor TLR1:TLR2 Cascade; Toll Like Receptor TLR6:TLR2 Cascade; TRIF-mediated programmed cell death; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; Neutrophil degranulation; TICAM1,TRAF6-dependent induction of TAK1 complex; Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon; IKK complex recruitment mediated by RIP1; TRAF6-mediated induction of TAK1 complex within TLR4 complex; IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","CD molecules|Scavenger receptors"
"12",0,0.933215978312617,0.997,0.771,0,"0","RNASE1","ribonuclease A family member 1, pancreatic","0, 1, 10, 2","","This gene encodes a member of the pancreatic-type of secretory ribonucleases, a subset of the ribonuclease A superfamily. The encoded endonuclease cleaves internal phosphodiester RNA bonds on the 3'-side of pyrimidine bases. It prefers poly(C) as a substrate and hydrolyzes 2',3'-cyclic nucleotides, with a pH optimum near 8.0. The encoded protein is monomeric and more commonly acts to degrade ds-RNA over ss-RNA. Alternative splicing occurs at this locus and four transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]","","Ribonuclease A family"
"13",0,0.873862787310887,0.978,0.599,0,"0","LYVE1","lymphatic vessel endothelial hyaluronan receptor 1","0, 1, 7","","This gene encodes a type I integral membrane glycoprotein. The encoded protein acts as a receptor and binds to both soluble and immobilized hyaluronan. This protein may function in lymphatic hyaluronan transport and have a role in tumor metastasis. [provided by RefSeq, Jul 2008]","Hyaluronan uptake and degradation",""
"14",0,0.864674651207975,0.986,0.717,0,"0","S100A9","S100 calcium binding protein A9","0, 1, 15, 7","neutrophil granulocyte","The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein may function in the inhibition of casein kinase and altered expression of this protein is associated with the disease cystic fibrosis. This antimicrobial protein exhibits antifungal and antibacterial activity. [provided by RefSeq, Nov 2014]","Regulation of TLR by endogenous ligand; Neutrophil degranulation; Metal sequestration by antimicrobial proteins","S100 calcium binding proteins|EF-hand domain containing"
"15",0,0.848361027400471,0.923,0.591,0,"0","CTSZ","cathepsin Z","","neutrophil granulocyte","The protein encoded by this gene is a lysosomal cysteine proteinase and member of the peptidase C1 family. It exhibits both carboxy-monopeptidase and carboxy-dipeptidase activities. The encoded protein has also been known as cathepsin X and cathepsin P. This gene is expressed ubiquitously in cancer cell lines and primary tumors and, like other members of this family, may be involved in tumorigenesis. [provided by RefSeq, Oct 2008]","Metabolism of Angiotensinogen to Angiotensins; COPII-mediated vesicle transport; Lysosome Vesicle Biogenesis; Cargo concentration in the ER; Neutrophil degranulation","Cathepsins"
"16",0,0.830693083315179,0.893,0.511,0,"0","STAB1","stabilin 1","0, 1, 7","endothelial cells","This gene encodes a large, transmembrane receptor protein which may function in angiogenesis, lymphocyte homing, cell adhesion, or receptor scavenging. The protein contains 7 fasciclin, 16 epidermal growth factor (EGF)-like, and 2 laminin-type EGF-like domains as well as a C-type lectin-like hyaluronan-binding Link module. The protein is primarily expressed on sinusoidal endothelial cells of liver, spleen, and lymph node. The receptor has been shown to endocytose ligands such as low density lipoprotein, Gram-positive and Gram-negative bacteria, and advanced glycosylation end products. Supporting its possible role as a scavenger receptor, the protein rapidly cycles between the plasma membrane and early endosomes. [provided by RefSeq, Jul 2008]","Scavenging by Class H Receptors","Scavenger receptors"
"17",0,0.826566168836179,0.999,0.855,0,"0","CSTB","cystatin B","","neutrophil granulocyte","The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and kininogens. This gene encodes a stefin that functions as an intracellular thiol protease inhibitor. The protein is able to form a dimer stabilized by noncovalent forces, inhibiting papain and cathepsins l, h and b. The protein is thought to play a role in protecting against the proteases leaking from lysosomes. Evidence indicates that mutations in this gene are responsible for the primary defects in patients with progressive myoclonic epilepsy (EPM1). One type of mutation responsible for EPM1 is the expansion in the promoter region of this gene of a CCCCGCCCCGCG repeat from 2-3 copies to 30-78 copies. [provided by RefSeq, Jul 2016]","Neutrophil degranulation","Cystatins, type 1"
"18",0,0.819540776994829,0.966,0.649,0,"0","EGFL7","EGF like domain multiple 7","0, 1, 7","endothelial cells","This gene encodes a secreted endothelial cell protein that contains two epidermal growth factor-like domains. The encoded protein may play a role in regulating vasculogenesis. This protein may be involved in the growth and proliferation of tumor cells. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012]","",""
"19",0,0.816501692808806,0.997,0.856,0,"0","LGALS1","galectin 1","0, 1, 7","","The galectins are a family of beta-galactoside-binding proteins implicated in modulating cell-cell and cell-matrix interactions. This gene product may act as an autocrine negative growth factor that regulates cell proliferation. [provided by RefSeq, Jul 2008]","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation","Endogenous ligands|Galectins"
"20",0,0.813924110427052,0.989,0.741,0,"0","FCER1G","Fc fragment of IgE receptor Ig","0, 1, 7","megakaryocyte, neutrophil granulocyte","The high affinity IgE receptor is a key molecule involved in allergic reactions. It is a tetramer composed of 1 alpha, 1 beta, and 2 gamma chains. The gamma chains are also subunits of other Fc receptors. [provided by RefSeq, Jul 2008]","GPVI-mediated activation cascade; Cell surface interactions at the vascular wall; Fc epsilon receptor (FCERI) signaling; Fc epsilon receptor (FCERI) signaling; Role of LAT2/NTAL/LAB on calcium mobilization; Role of LAT2/NTAL/LAB on calcium mobilization; FCERI mediated MAPK activation; FCERI mediated Ca+2 mobilization; FCERI mediated Ca+2 mobilization; FCERI mediated NF-kB activation; Dectin-2 family; Dectin-2 family; Neutrophil degranulation; Platelet Adhesion to exposed collagen",""
"21",0,0.780980078071043,0.777,0.446,0,"0","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10","0, 12, 7","","This gene encodes a mitochondrial protein that is enriched at cristae junctions in the intermembrane space. It may play a role in cristae morphology maintenance or oxidative phosphorylation. Mutations in this gene cause frontotemporal dementia and/or amyotrophic lateral sclerosis-2. Alternative splicing of this gene results in multiple transcript variants. Related pseudogenes have been identified on chromosomes 7 and 19. [provided by RefSeq, Aug 2014]","Mitochondrial protein import","Mitochondrial coiled-coil-helix-coiled-coil-helix domain containing proteins"
"22",0,0.777331845808842,0.998,0.884,0,"0","SH3BGRL3","SH3 domain binding glutamate rich protein like 3","0, 7","","Not available","",""
"23",0,0.776804924795757,0.949,0.646,0,"0","HCST","hematopoietic cell signal transducer","0, 1, 7","lymphoid","This gene encodes a transmembrane signaling adaptor that contains a YxxM motif in its cytoplasmic domain. The encoded protein may form part of the immune recognition receptor complex with the C-type lectin-like receptor NKG2D. As part of this receptor complex, this protein may activate phosphatidylinositol 3-kinase dependent signaling pathways through its intracytoplasmic YxxM motif. This receptor complex may have a role in cell survival and proliferation by activation of NK and T cell responses. Alternative splicing results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",""
"24",0,0.750378423849369,0.953,0.549,0,"0","CD68","CD68 molecule","0, 12, 2","connective tissue macrophage, macrophage, monocyte, neutrophil granulocyte","This gene encodes a 110-kD transmembrane glycoprotein that is highly expressed by human monocytes and tissue macrophages. It is a member of the lysosomal/endosomal-associated membrane glycoprotein (LAMP) family. The protein primarily localizes to lysosomes and endosomes with a smaller fraction circulating to the cell surface. It is a type I integral membrane protein with a heavily glycosylated extracellular domain and binds to tissue- and organ-specific lectins or selectins. The protein is also a member of the scavenger receptor family. Scavenger receptors typically function to clear cellular debris, promote phagocytosis, and mediate the recruitment and activation of macrophages. Alternative splicing results in multiple transcripts encoding different isoforms. [provided by RefSeq, Jul 2008]","Neutrophil degranulation","CD molecules|Scavenger receptors"
"25",0,0.740945167681545,1,0.922,0,"0","TMSB4X","thymosin beta 4 X-linked","0, 7","megakaryocyte","This gene encodes an actin sequestering protein which plays a role in regulation of actin polymerization. The protein is also involved in cell proliferation, migration, and differentiation. This gene escapes X inactivation and has a homolog on chromosome Y. [provided by RefSeq, Jul 2008]","Platelet degranulation ",""
"26",0,0.739181474912925,0.902,0.609,0,"0","ATP1B1","ATPase Na+/K+ transporting subunit beta 1","","","The protein encoded by this gene belongs to the family of Na+/K+ and H+/K+ ATPases beta chain proteins, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane. The glycoprotein subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes a beta 1 subunit. Alternatively spliced transcript variants encoding different isoforms have been described, but their biological validity is not known. [provided by RefSeq, Mar 2010]","Basigin interactions; Ion homeostasis; Ion transport by P-type ATPases","ATPase Na+/K+ transporting subunits"
"27",0,0.732646880189984,0.847,0.407,0,"0","CD163","CD163 molecule","0, 1","macrophage, monocyte","The protein encoded by this gene is a member of the scavenger receptor cysteine-rich (SRCR) superfamily, and is exclusively expressed in monocytes and macrophages. It functions as an acute phase-regulated receptor involved in the clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages, and may thereby protect tissues from free hemoglobin-mediated oxidative damage. This protein may also function as an innate immune sensor for bacteria and inducer of local inflammation. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Aug 2011]","Scavenging of heme from plasma","CD molecules|Scavenger receptors|Scavenger receptor cysteine rich domain containing"
"28",0,0.729988750027829,0.885,0.469,0,"0","LY96","lymphocyte antigen 96","0, 12, 2","","This gene encodes a protein which associates with toll-like receptor 4 on the cell surface and confers responsiveness to lipopolysaccyaride (LPS), thus providing a link between the receptor and LPS signaling. Studies of the mouse ortholog suggest that this gene may be involved in endotoxin neutralization. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2010]","ER-Phagosome pathway; via Death Receptors in the presence of ligand; Toll Like Receptor 4 (TLR4) Cascade; MyD88:Mal cascade initiated on plasma membrane; MyD88-independent TLR4 cascade ; TRIF-mediated programmed cell death; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; TICAM1,TRAF6-dependent induction of TAK1 complex; Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon; IKK complex recruitment mediated by RIP1; TRAF6-mediated induction of TAK1 complex within TLR4 complex; IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation",""
"29",0,0.728801673149791,0.966,0.665,0,"0","CTSC","cathepsin C","","neutrophil granulocyte","This gene encodes a member of the peptidase C1 family and lysosomal cysteine proteinase that appears to be a central coordinator for activation of many serine proteinases in cells of the immune system. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate heavy and light chains that form a disulfide-linked dimer. A portion of the propeptide acts as an intramolecular chaperone for the folding and stabilization of the mature enzyme. This enzyme requires chloride ions for activity and can degrade glucagon. Defects in the encoded protein have been shown to be a cause of Papillon-Lefevre syndrome, an autosomal recessive disorder characterized by palmoplantar keratosis and periodontitis. [provided by RefSeq, Nov 2015]","COPII-mediated vesicle transport; MHC class II antigen presentation; Cargo concentration in the ER; Neutrophil degranulation","Cathepsins"
"30",0,0.712517685406835,0.95,0.652,0,"0","NINJ1","ninjurin 1","","schwann cell","The ninjurin protein is upregulated after nerve injury both in dorsal root ganglion neurons and in Schwann cells (Araki and Milbrandt, 1996 [PubMed 8780658]). It demonstrates properties of a homophilic adhesion molecule and promotes neurite outgrowth from primary cultured dorsal root ganglion neurons.[supplied by OMIM, Aug 2009]","",""
"31",0,0.705852828223816,0.967,0.645,0,"0","CD36","CD36 molecule","0, 10, 12, 2","adipocytes, erythrocyte, megakaryocyte, neutrophil granulocyte","The protein encoded by this gene is the fourth major glycoprotein of the platelet surface and serves as a receptor for thrombospondin in platelets and various cell lines. Since thrombospondins are widely distributed proteins involved in a variety of adhesive processes, this protein may have important functions as a cell adhesion molecule. It binds to collagen, thrombospondin, anionic phospholipids and oxidized LDL. It directly mediates cytoadherence of Plasmodium falciparum parasitized erythrocytes and it binds long chain fatty acids and may function in the transport and/or as a regulator of fatty acid transport. Mutations in this gene cause platelet glycoprotein deficiency. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Feb 2014]","Platelet degranulation ; Cross-presentation of particulate exogenous antigens (phagosomes); ER-Phagosome pathway; MyD88:Mal cascade initiated on plasma membrane; Toll Like Receptor TLR6:TLR2 Cascade; PPARA activates gene expression; Scavenging by Class B Receptors; Scavenging by Class B Receptors; Transcriptional regulation of white adipocyte differentiation; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; Interleukin-4 and Interleukin-13 signaling; Neutrophil degranulation","CD molecules|Scavenger receptors"
"32",0,0.700222905181131,0.809,0.409,0,"0","BRI3","brain protein I3","","neutrophil granulocyte","Not available","Neutrophil degranulation",""
"33",0,0.699473035175574,0.966,0.632,0,"0","MAF","MAF bZIP transcription factor","0, 12, 7","osteoblast","The protein encoded by this gene is a DNA-binding, leucine zipper-containing transcription factor that acts as a homodimer or as a heterodimer. Depending on the binding site and binding partner, the encoded protein can be a transcriptional activator or repressor. This protein plays a role in the regulation of several cellular processes, including embryonic lens fiber cell development, increased T-cell susceptibility to apoptosis, and chondrocyte terminal differentiation. Defects in this gene are a cause of juvenile-onset pulverulent cataract as well as congenital cerulean cataract 4 (CCA4). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]","RUNX2 regulates osteoblast differentiation","Basic leucine zipper proteins"
"34",0,0.69519693608115,0.746,0.381,0,"0","IGFBP4","insulin like growth factor binding protein 4","","","This gene is a member of the insulin-like growth factor binding protein (IGFBP) family and encodes a protein with an IGFBP domain and a thyroglobulin type-I domain. The protein binds both insulin-like growth factors (IGFs) I and II and circulates in the plasma in both glycosylated and non-glycosylated forms. Binding of this protein prolongs the half-life of the IGFs and alters their interaction with cell surface receptors. [provided by RefSeq, Jul 2008]","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation","Insulin like growth factor binding proteins"
"35",0,0.67961973134846,0.998,0.837,0,"0","NPC2","NPC intracellular cholesterol transporter 2","","neutrophil granulocyte","This gene encodes a protein containing a lipid recognition domain. The encoded protein may function in regulating the transport of cholesterol through the late endosomal/lysosomal system. Mutations in this gene have been associated with Niemann-Pick disease, type C2 and frontal lobe atrophy. [provided by RefSeq, Jul 2008]","Neutrophil degranulation; LDL clearance",""
"36",0,0.673115364513636,0.73,0.353,0,"0","RAP2B","RAP2B, member of RAS oncogene family","","neutrophil granulocyte","This intronless gene belongs to a family of RAS-related genes. The proteins encoded by these genes share approximately 50% amino acid identity with the classical RAS proteins and have numerous structural features in common. The most striking difference between the RAP and RAS proteins resides in their 61st amino acid: glutamine in RAS is replaced by threonine in RAP proteins. Evidence suggests that this protein may be polyisoprenylated and palmitoylated. [provided by RefSeq, Jul 2008]","Neutrophil degranulation","RAS type GTPase family"
"37",0,0.640299819586221,0.882,0.552,0,"0","CREG1","cellular repressor of E1A stimulated genes 1","0, 12","neutrophil granulocyte","The adenovirus E1A protein both activates and represses gene expression to promote cellular proliferation and inhibit differentiation. The protein encoded by this gene antagonizes transcriptional activation and cellular transformation by E1A. This protein shares limited sequence similarity with E1A and binds both the general transcription factor TBP and the tumor suppressor pRb in vitro. This gene may contribute to the transcriptional control of cell growth and differentiation. [provided by RefSeq, Jul 2008]","Neutrophil degranulation",""
"38",0,0.639200191538342,0.897,0.492,0,"0","MRC1","mannose receptor C-type 1","0, 2","macrophage","The recognition of complex carbohydrate structures on glycoproteins is an important part of several biological processes, including cell-cell recognition, serum glycoprotein turnover, and neutralization of pathogens. The protein encoded by this gene is a type I membrane receptor that mediates the endocytosis of glycoproteins by macrophages. The protein has been shown to bind high-mannose structures on the surface of potentially pathogenic viruses, bacteria, and fungi so that they can be neutralized by phagocytic engulfment.[provided by RefSeq, Sep 2015]","Cross-presentation of soluble exogenous antigens (endosomes); Cross-presentation of soluble exogenous antigens (endosomes)","CD molecules|Scavenger receptors|C-type lectin domain containing"
"39",0,0.631702433968784,0.994,0.905,0,"0","AP2S1","adaptor related protein complex 2 subunit sigma 1","0, 7","","One of two major clathrin-associated adaptor complexes, AP-2, is a heterotetramer which is associated with the plasma membrane. This complex is composed of two large chains, a medium chain, and a small chain. This gene encodes the small chain of this complex. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]","Nef Mediated CD4 Down-regulation; Retrograde neurotrophin signalling; Retrograde neurotrophin signalling; Nef Mediated CD8 Down-regulation; MHC class II antigen presentation; EPH-ephrin mediated repulsion of cells; Trafficking of GluR2-containing AMPA receptors; Recycling pathway of L1; Recycling pathway of L1; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis; VLDLR internalisation and degradation; LDL clearance",""
"40",0,0.617184365257416,0.869,0.532,0,"0","KCTD12","potassium channel tetramerization domain containing 12","","","Not available","",""
"41",5.62167477634157e-298,0.647057122990603,0.964,0.74,1.29725767138858e-293,"0","FABP5","fatty acid binding protein 5","","neutrophil granulocyte","This gene encodes the fatty acid binding protein found in epidermal cells, and was first identified as being upregulated in psoriasis tissue. Fatty acid binding proteins are a family of small, highly conserved, cytoplasmic proteins that bind long-chain fatty acids and other hydrophobic ligands. FABPs may play roles in fatty acid uptake, transport, and metabolism. Polymorphisms in this gene are associated with type 2 diabetes. The human genome contains many pseudogenes similar to this locus.[provided by RefSeq, Feb 2011]","Triglyceride catabolism; Signaling by Retinoic Acid; Neutrophil degranulation","Fatty acid binding protein family"
"42",9.2808200792179e-291,0.745160813547301,0.921,0.712,2.14164204148032e-286,"0","KLF6","Kruppel like factor 6","","","This gene encodes a member of the Kruppel-like family of transcription factors. The zinc finger protein is a transcriptional activator, and functions as a tumor suppressor. Multiple transcript variants encoding different isoforms have been found for this gene, some of which are implicated in carcinogenesis. [provided by RefSeq, May 2009]","","Zinc fingers C2H2-type|Kruppel like factors"
